ano,mes,prec
1973,ENE,0.3 
1973,FEB,0.0 
1973,MAR,0.0 
1973,ABR,54.1 
1973,MAY,10.3 
1973,JUN,59.3 
1973,JUL,27.4 
1973,AGO,306.5 
1973,SEPT,208.8 
1973,OCT,109.7 
1973,NOV,66.0 
1973,DIC,0.1 
1974,ENE,3.3 
1974,FEB,7.8 
1974,MAR,5.5 
1974,ABR,0.5 
1974,MAY,35.5 
1974,JUN,1.5 
1974,JUL,174.2 
1974,AGO,262.0 
1974,SEPT,133.4 
1974,OCT,193.5 
1974,NOV,18.0 
1974,DIC,24.0 
1975,ENE,1.5 
1975,FEB,18.6 
1975,MAR,0.0 
1975,ABR,1.4 
1975,MAY,97.9 
1975,JUN,64.9 
1975,JUL,188.4 
1975,AGO,224.9 
1975,SEPT,196.2 
1975,OCT,137.3 
1975,NOV,99.6 
1975,DIC,79.4 
1976,ENE,0.0 
1976,FEB,7.4 
1976,MAR,22.6 
1976,ABR,51.2 
1976,MAY,57.7 
1976,JUN,161.0 
1976,JUL,227.8 
1976,AGO,108.6 
1976,SEPT,37.8 
1976,OCT,128.2 
1976,NOV,107.6 
1976,DIC,6.6 
1977,ENE,0.0 
1977,FEB,0.0 
1977,MAR,20.2 
1977,ABR,27.0 
1977,MAY,57.4 
1977,JUN,136.3 
1977,JUL,56.8 
1977,AGO,213.6 
1977,SEPT,153.2 
1977,OCT,127.6 
1977,NOV,26.2 
1977,DIC,0.0 
1978,ENE,28.8 
1978,FEB,0.0 
1978,MAR,0.0 
1978,ABR,119.8 
1978,MAY,109.0 
1978,JUN,118.1 
1978,JUL,118.2 
1978,AGO,154.5 
1978,SEPT,144.7 
1978,OCT,109.5 
1978,NOV,134.6 
1978,DIC,14.7 
1979,ENE,0.0 
1979,FEB,0.0 
1979,MAR,24.5 
1979,ABR,62.0 
1979,MAY,126.2 
1979,JUN,248.6 
1979,JUL,134.0 
1979,AGO,124.7 
1979,SEPT,221.8 
1979,OCT,56.1 
1979,NOV,114.7 
1979,DIC,15.8 
1980,ENE,0.0 
1980,FEB,0.0 
1980,MAR,0.0 
1980,ABR,31.4 
1980,MAY,131.4 
1980,JUN,115.3 
1980,JUL,138.0 
1980,AGO,159.6 
1980,SEPT,187.3 
1980,OCT,152.2 
1980,NOV,15.3 
1980,DIC,11.2 
1981,ENE,8.2 
1981,FEB,24.1 
1981,MAR,0.0 
1981,ABR,244.3 
1981,MAY,196.2 
1981,JUN,85.8 
1981,JUL,348.6 
1981,AGO,195.3 
1981,SEPT,162.3 
1981,OCT,52.4 
1981,NOV,166.2 
1981,DIC,57.6 
1982,ENE,3.0 
1982,FEB,1.0 
1982,MAR,0.0 
1982,ABR,205.3 
1982,MAY,138.6 
1982,JUN,30.8 
1982,JUL,38.2 
1982,AGO,134.2 
1982,SEPT,124.0 
1982,OCT,165.3 
1982,NOV,0.3 
1982,DIC,1.6 
1983,ENE,0.0 
1983,FEB,0.0 
1983,MAR,1.0 
1983,ABR,81.9 
1983,MAY,120.7 
1983,JUN,145.6 
1983,JUL,135.9 
1983,AGO,189.8 
1983,SEPT,104.0 
1983,OCT,107.7 
1983,NOV,35.7 
1983,DIC,0.8 
1984,ENE,1.5 
1984,FEB,1.4 
1984,MAR,0.0 
1984,ABR,28.2 
1984,MAY,15.1 
1984,JUN,114.2 
1984,JUL,180.6 
1984,AGO,139.9 
1984,SEPT,88.1 
1984,OCT,90.5 
1984,NOV,76.7 
1984,DIC,10.4 
1985,ENE,0.0 
1985,FEB,0.5 
1985,MAR,0.0 
1985,ABR,45.5 
1985,MAY,74.9 
1985,JUN,129.9 
1985,JUL,93.3 
1985,AGO,240.3 
1985,SEPT,82.9 
1985,OCT,110.5 
1985,NOV,112.3 
1985,DIC,52.6 
1986,ENE,0.0 
1986,FEB,7.1 
1986,MAR,0.0 
1986,ABR,102.7 
1986,MAY,165.8 
1986,JUN,173.9 
1986,JUL,104.8 
1986,AGO,125.9 
1986,SEPT,116.9 
1986,OCT,114.5 
1986,NOV,26.0 
1986,DIC,3.8 
1987,ENE,3.4 
1987,FEB,0.4 
1987,MAR,9.7 
1987,ABR,46.8 
1987,MAY,169.4 
